feature,qc_mean_intensity,qc_std_intensity,qc_cv_pct,qc_log_sd,qc_detection_rate,Dunn_mean_intensity,Dunn_std_intensity,Dunn_cv_pct,Dunn_log_sd,Dunn_detection_rate,French_mean_intensity,French_std_intensity,French_cv_pct,French_log_sd,French_detection_rate,LMU_mean_intensity,LMU_std_intensity,LMU_cv_pct,LMU_log_sd,LMU_detection_rate,bio_cv_pct_median,bio_cv_pct_max,bio_log_sd_median,bio_detection_rate_median,bio_detection_rate_min,d_ratio_cv,d_ratio_log,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std,detection_rate__Dunn,detection_rate__French,detection_rate__LMU,blank_mean_intensity,blank_detection_rate,qc_mean_intensity_cont,bio_mean_intensity,blank_to_qc_ratio,blank_to_bio_ratio,blank_dominant_flag,carryover_spearman_rho,n_blank_contexts,bio_detection_rate_max,passes_mz_500,passes_qc_cv_30,passes_detection_70_any_class,passes_detection_70_all_classes,blank_dominant_veto,potential_carryover_flag,retained_main,retained_high_confidence,exclusion_reason
FT-145,1085.0013862206085,173.3565501749655,15.977541814837615,0.1556454618677374,0.9090909090909091,860.100180918337,165.60026338976036,19.253601738921557,0.19499243586553006,0.9629629629629629,679.7249247934143,196.23195167673936,28.86931823728242,0.71295336553404,1.0,1138.012470849773,491.3327394622425,43.174635783679605,1.0975387745376597,1.0,28.86931823728242,43.174635783679605,0.71295336553404,1.0,0.9629629629629629,0.5534436831349864,0.21831085929603639,1632.0422244647154,1632.143549164095,1631.944909954586,0.0498037752269419,1455.2449080604651,1465.325859832764,1457.0759410058563,1452.9375087822204,1445.226665496828,1.1451980467965952,0.9629629629629629,1.0,1.0,0.0,0.0,1057.5379063408889,881.3136327924005,0.0009446992819149,0.0011333838250182,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-015,1948.2048682113164,335.9240659414338,17.242748512883658,0.17935910360191146,0.9090909090909091,2066.3966469167967,570.9602390147946,27.63071842314039,0.8069407118605975,1.0,1411.6876752169676,378.9761476769072,26.845608581137533,0.48398044216786573,1.0,1632.9332523941323,670.5500900217854,41.06414570458746,1.034697073242102,1.0,27.63071842314039,41.06414570458746,0.8069407118605975,1.0,1.0,0.6240427139398252,0.22227048526075174,1685.172273985871,1685.2705514689096,1685.0893153104369,0.0491659417086484,962.883033571473,978.8590223892908,965.5223748060172,960.160472210801,950.0644366637516,1.3022834918697654,1.0,1.0,1.0,0.0,0.0,1659.047450135412,1708.2639694258492,0.0006023924195169,0.0005850471418618,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-174,28.534948565135387,6.840222093642689,23.971383996115623,0.2488077418313656,0.9090909090909091,42.781426247569684,85.14422754511979,199.02147967765953,0.9665892576199262,0.37037037037037035,97.2041630102426,23.251326409421583,23.920093223755806,0.23893785005894214,1.0,85.63914429270048,73.76357206909495,86.13300924280983,1.1430564060057398,0.38461538461538464,86.13300924280983,199.02147967765953,0.9665892576199262,0.38461538461538464,0.37037037037037035,0.2783065889238822,0.257407931931724,1210.8304701216448,1210.9006110405176,1210.7634042850927,0.0393243797493412,928.6948296247882,936.6544350710782,933.2542365417872,923.4052741038936,921.7589794505756,2.2293708605911333,0.37037037037037035,1.0,0.38461538461538464,0.0,0.0,37.48465694808375,49.21328013165891,0.025984381291199,0.0199150503089622,False,,5,1.0,True,True,True,False,False,False,True,True,retained
FT-188,84.0586923610034,24.55222090585828,29.20842594173946,0.28582272151155025,1.0,153.37385402380642,282.51253530013986,184.19862831137357,0.5913674936175541,1.0,360.94833375547785,635.3992200826013,176.03605853270082,1.3522059763956265,1.0,204.0093915709096,337.47004082368125,165.41887519250966,0.8827058541398851,1.0,176.03605853270082,184.19862831137357,0.8827058541398851,1.0,1.0,0.16592297160705652,0.32380290690386093,931.123316275561,931.1738081023892,931.07426737904,0.0254915780131796,1102.1879690833632,1107.124431889231,1104.963450062722,1099.1332192776542,1093.916465014947,1.3268034181666346,1.0,1.0,1.0,0.0,0.0,78.81477712077168,238.3543660396056,0.0125290082372447,0.0041779058245151,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-028,555.7034288030117,136.73290474117934,24.605373595715037,0.2716816191609109,0.9090909090909091,639.3515506917423,184.40183354408424,28.84200927401707,0.8176455099697597,1.0,573.1177919836174,155.02991656993234,27.050271120245363,0.35067550159509286,0.9615384615384616,413.5039091888864,171.46050287180628,41.465267694357884,0.7372262169052736,0.9615384615384616,28.84200927401707,41.465267694357884,0.7372262169052736,0.9615384615384616,0.9615384615384616,0.8531088580531491,0.3685186621568822,1845.2675702568588,1845.3714278358416,1845.1623419189225,0.0547059411325117,1057.465322843472,1063.011718921446,1060.0061878004767,1054.8746688276972,1047.5546058911905,1.2638959113625776,1.0,0.9615384615384616,0.9615384615384616,0.0,0.0,421.6582446569468,530.7346126327803,0.0023659777435825,0.0018806374011439,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-156,2067.210688115104,388.60493586114484,18.79851618876242,0.18430251143014958,0.9090909090909091,1988.40151440123,464.98202001143517,23.38471463855507,0.43148637839489484,1.0,1868.9123200001716,482.22812415002306,25.802608233112764,0.444972533041154,1.0,1538.7698878048118,564.4279108071868,36.680462444738374,1.0449765627870082,0.9615384615384616,25.802608233112764,36.680462444738374,0.444972533041154,1.0,0.9615384615384616,0.728551006120307,0.41418851219992964,1560.001369125993,1560.0914572782103,1559.9171022035998,0.0453103280372081,1419.237135066407,1434.9778151004848,1421.147539593874,1416.8768402638188,1406.173628949106,1.0870526004769543,1.0,1.0,0.9615384615384616,0.0,0.0,1732.6610796448415,1781.617827898203,0.0005768140103859,0.0005609727359111,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-217,113.99744515007,25.211088899547768,22.115485892125964,0.23214185646176905,1.0,109.45642950639582,32.71733236158546,29.890735984288348,0.30738318357804045,1.0,112.3975742635556,178.924854739174,159.18924933346145,0.5770913220586236,1.0,163.51959818131456,204.238495617062,124.90153956383706,0.5285792074738542,1.0,124.90153956383706,159.18924933346145,0.5285792074738542,1.0,1.0,0.17706335701989293,0.43918083265364116,1089.0287993120237,1089.0950065180127,1088.970820326633,0.030458456101534,1473.4388815633502,1483.5051296283675,1476.2821695524506,1470.872925663907,1466.9955052957894,1.2981758393010991,1.0,1.0,1.0,0.0,0.0,115.9467520052329,128.2173427878394,0.0085509001562972,0.0077388992717633,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-146,261.6091094216664,47.00097804719745,17.9661091125999,0.1758773658218541,0.9090909090909091,261.9596697911767,65.71144256136327,25.084564587268602,0.2872472934526396,0.9629629629629629,194.7691029998359,63.56732097576573,32.63727151622159,0.4567167706769161,1.0,198.96817836037116,49.36386104631966,24.809927624161006,0.338700797787478,0.8846153846153846,25.084564587268602,32.63727151622159,0.338700797787478,0.9629629629629629,0.8846153846153846,0.7162216848570855,0.519270598034465,1633.038705134174,1633.107167277146,1632.9691329723976,0.0425022110452064,1439.0391430336188,1445.0717250636355,1440.7764451317369,1436.86510091518,1430.602291920149,0.996074966973379,0.9629629629629629,1.0,0.8846153846153846,0.0,0.0,214.16382200172248,208.24324297284636,0.0046476214760304,0.0047791268467855,False,,5,1.0,True,True,True,True,False,False,True,True,retained
FT-172,73.04771150881156,18.844066246113535,25.79692896175183,0.2557618923329953,0.8181818181818182,172.0618625851469,224.13242358192284,130.26269750567658,1.5112433042831999,0.6666666666666666,189.97026294726518,38.22021388502828,20.11905089358013,0.20230135916244532,1.0,22.948212248870828,10.210735726801877,44.49468924231472,0.4072489990891061,0.2692307692307692,44.49468924231472,130.26269750567658,0.4072489990891061,0.6666666666666666,0.2692307692307692,0.5797754608704806,0.6280233785842517,886.6352611425967,886.6797677782474,886.5887702166918,0.0241624875229154,674.1885161473726,683.2720027250376,679.4295417213385,668.2875055110654,665.7916876848988,2.238306369755907,0.6666666666666666,1.0,0.2692307692307692,0.0,0.0,44.86338354956652,104.85633871737188,0.0218038862945917,0.0094467654192152,False,,5,1.0,True,True,True,False,False,False,True,True,retained
FT-089,2103.1511880187813,232.5006999647917,11.054873339078059,0.10944766949141685,1.0,2038.935859110151,319.7756490021742,15.683457994688135,0.1873448944478679,1.0,1983.580024250205,138.7781667026422,6.996348269594038,0.0712517773303911,1.0,1989.8190370672141,284.7717931253494,14.311441785433582,0.16815920930720862,1.0,14.311441785433582,15.683457994688135,0.16815920930720862,1.0,1.0,0.7724500092177916,0.6508574222150857,1233.2816716646137,1233.3544547572506,1233.2180624334412,0.0354944446073147,1299.4896330327,1318.851755163174,1301.5338470303554,1296.9599185364402,1284.7912920438337,1.2163430138721094,1.0,1.0,1.0,0.0,0.0,2032.678384664808,2004.552453040848,0.0004917198351227,0.0004986157297874,False,,5,1.0,True,True,True,True,False,False,True,True,retained
